Step,AgentID,Speed,VehicleType,Position
1682,313,21.6,Car,"(273461469, 273461466)"
1682,318,18.0,Car,"(236160006, 236306981)"
1682,323,18.0,Truck,"(236160006, 236160072)"
1682,324,10.8,Car,236160006
1682,325,21.6,Motorcycle,"(281474610, 236306981)"
1682,326,21.6,Car,"(236160072, 236160006)"
1682,327,25.2,Car,"(236160072, 236160006)"
1682,328,21.6,Bus,"(281474691, 281474610)"
1682,329,10.8,Bus,"(273461469, 273461466)"
1682,330,3.6,Motorcycle,"(236160006, 236306981)"
1682,331,7.2,Car,"(3044475380, 281474691)"
